asig_codigo,asig_nombre
INFO1166,INFO1166 - TALLER DE INTEGRACIÓN III
MAT1156,MAT1156 - TOPICOS DE CALCULO AVANZADO
MAT1192,MAT1192 - CÁLCULO I
MATE1111,MATE1111 - CALCULO II
MATE1117,MATE1117 - ECUACIONES DIFERENCIALES
NUTR1126,NUTR1126 - DIETOTERAPIA MATERNO INFANTIL
PBI1141,PBI1141 - INTERNADO PEDAGÓGICO EN CONTEXTO INTERCULTURAL BILINGÜE
PBM1181,PBM1181 - PENSAMIENTO HISTORICO PARA EL APRENDIZAJE COMPRENSION DE LA HISTORIA DE CHILE Y AMERICA PARA SU ENSEÑANZA
PLCM1114,PLCM1114 - KONELTU ZUGUN: DIDÁCTICA DE LA INMERSIÓN
QFAR1108,QFAR1108 - BIOFISICA
TEP1149,TEP1149 - JUEGO COMO EXPRESIÓN DE APRENDIZAJE
TRAD1129,TRAD1129 - TRADUCCIÓN CIENCIAS SOCIALES Y HUMANIDADES II
ACU1148,ACU1148 - PRODUCCION DE MOLUSCOS
AGR0138,AGR0138 - PRODUCCIÓN DE CARNE
AGR1138,AGR1138 - FRUTALES DE HOJA CADUCA Y PERSISTENTE
AMB1137,AMB1137 - MÉTODOS CUALITATIVOS DE INVESTIGACIÓN GEOGRAFICA
ANT1124,ANT1124 - PREHISTORIA AMERICANA
ANT1144,ANT1144 - PATRIMONIO CULTURAL Y GESTION
APUB1157,APUB1157 - EVALUACIÓN DE POLÍTICAS PÚBLICAS
CAMB1101,CAMB1101 - QUIMICA GENERAL
DDO1023,DDO1023 - ARTESANIA TRADICIONAL MAPUCHE
DDO1104,DDO1104 - YOGATERAPIA
DERE1128,DERE1128 - DERECHO CIVIL IV
DERE1139,DERE1139 - DERECHO CIVIL VII
DISE1106,DISE1106 - TALLER  DE DISEÑO 2
DISE1132,DISE1132 - TALLER DE GRADO
DISI1161,DISI1161 - INVESTIGACIÓN E INDUSTRIA
EFI1159,EFI1159 - PRACTICA EDUCACION BASICA
FCRF1118,FCRF1118 - REFLEXIÓN ÉTICA DE LA ENFERMEDAD Y EL DESAFÍO DE LA HUMANIZACIÓN EN SALUD.
GEOG1107,GEOG1107 - SEMINARIO DE INVESTIGACION
ICG1168,ICG1168 - SIG
